Reporting starts,Reporting ends,Campaign name,Age,Campaign Delivery,Ad set budget,Ad set budget type,Attribution setting,Results,Result indicator,Reach,Impressions,Cost per results,Amount spent (MXN),Ends,Estimated ad recall lift rate,Frequency,Unique link clicks,Website purchases,Result rate
4/23/2022,4/23/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/23/2022,4/23/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,40,estimated_ad_recallers,713,771,0.15425,6.17,4/23/2022,5.610098,1.081346,,,5.188067445
4/23/2022,4/23/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,90,estimated_ad_recallers,1913,2006,0.171666667,15.45,4/23/2022,4.704652,1.048615,3,,4.486540379
4/23/2022,4/23/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,2,actions:link_click,467,476,4.635,9.27,4/23/2022,0,1.019272,2,,0.420168067
4/23/2022,4/23/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,644,661,,10.68,4/23/2022,0,1.026398,,,
4/22/2022,4/22/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/22/2022,4/22/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,120,estimated_ad_recallers,1784,1955,0.125166667,15.02,4/23/2022,6.726457,1.095852,6,,6.138107417
4/22/2022,4/22/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,250,estimated_ad_recallers,4378,4729,0.13756,34.39,4/23/2022,5.71037,1.080174,3,,5.286529922
4/22/2022,4/22/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/22/2022,4/22/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,5,actions:link_click,695,831,5.252,26.26,4/23/2022,0,1.195683,5,,0.601684717
4/22/2022,4/22/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,9,actions:link_click,809,1002,2.816666667,25.35,4/23/2022,0,1.238566,8,,0.898203593
4/21/2022,4/21/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/21/2022,4/21/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,110,estimated_ad_recallers,1792,1966,0.143909091,15.83,4/23/2022,6.138393,1.097098,1,,5.595116989
4/21/2022,4/21/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,210,estimated_ad_recallers,3988,4452,0.165666667,34.79,4/23/2022,5.265797,1.116349,7,,4.716981132
4/21/2022,4/21/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/21/2022,4/21/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,6,actions:link_click,1032,1110,4.198333333,25.19,4/23/2022,0,1.075581,6,,0.540540541
4/21/2022,4/21/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,13,actions:link_click,1141,1258,1.970769231,25.62,4/23/2022,0,1.102542,13,,1.033386328
4/20/2022,4/20/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/20/2022,4/20/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,100,estimated_ad_recallers,1714,1884,0.1486,14.86,4/23/2022,5.834306,1.099183,6,,5.307855626
4/20/2022,4/20/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,220,estimated_ad_recallers,4298,4609,0.1635,35.97,4/23/2022,5.11866,1.072359,10,,4.77326969
4/20/2022,4/20/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/20/2022,4/20/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,5,actions:link_click,583,709,5.042,25.21,4/23/2022,0,1.216123,5,,0.705218618
4/20/2022,4/20/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,2,actions:link_click,772,982,12.795,25.59,4/23/2022,0,1.272021,2,,0.203665988
4/19/2022,4/19/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/19/2022,4/19/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,110,estimated_ad_recallers,1838,2084,0.144272727,15.87,4/23/2022,5.984766,1.133841,5,,5.27831094
4/19/2022,4/19/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,210,estimated_ad_recallers,4304,4915,0.169619048,35.62,4/23/2022,4.879182,1.141961,9,,4.272634791
4/19/2022,4/19/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/19/2022,4/19/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,8,actions:link_click,770,949,3.28,26.24,4/23/2022,0,1.232468,7,,0.842992624
4/19/2022,4/19/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,14,actions:link_click,1111,1373,1.701428571,23.82,4/23/2022,0,1.235824,13,,1.019664967
4/18/2022,4/18/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/18/2022,4/18/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,120,estimated_ad_recallers,1854,2143,0.127416667,15.29,4/23/2022,6.472492,1.155879,10,,5.599626692
4/18/2022,4/18/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,250,estimated_ad_recallers,4506,5226,0.14744,36.86,4/23/2022,5.548158,1.159787,11,,4.78377344
4/18/2022,4/18/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/18/2022,4/18/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,10,actions:link_click,683,774,2.627,26.27,4/23/2022,0,1.133236,9,,1.291989664
4/18/2022,4/18/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,5,actions:link_click,954,1070,5.392,26.96,4/23/2022,0,1.121593,5,,0.46728972
4/17/2022,4/17/2022,Abril_Awareness_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/17/2022,4/17/2022,Abril_Awareness_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,130,estimated_ad_recallers,1922,2269,0.129692308,16.86,4/23/2022,6.763788,1.180541,7,,5.72939621
4/17/2022,4/17/2022,Abril_Awareness_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,250,estimated_ad_recallers,4250,4896,0.14472,36.18,4/23/2022,5.882353,1.152,6,,5.10620915
4/17/2022,4/17/2022,Abril_Maddy_35+,Unknown,recently_completed,Using ad set budget,0,7-day click or 1-day view,,,0,0,,0,4/23/2022,0,0,,,
4/17/2022,4/17/2022,Abril_Maddy_35+,45-54,recently_completed,Using ad set budget,0,7-day click or 1-day view,2,actions:link_click,575,673,13.13,26.26,4/23/2022,0,1.170435,2,,0.29717682
4/17/2022,4/17/2022,Abril_Maddy_35+,35-44,recently_completed,Using ad set budget,0,7-day click or 1-day view,6,actions:link_click,775,894,4.403333333,26.42,4/23/2022,0,1.153548,6,,0.67114094
